@tax	con.depth.100.seq.bifido	con.depth.1000.seq.bifido	con.depth.10000.seq.bifido	con.depth.100000.seq.bifido	con.depth.500000.seq.bifido	conbif.200000	conbif.40000	conbif.80000
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_breve;t__Bifidobacterium_breve_ACS-071-V-Sch8b	41	41	43	51	90	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_breve;t__Bifidobacterium_breve_DRBB26	20	20	22	31	76	2	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_breve;t__Bifidobacterium_breve_JCM_7019	22	22	24	49	153	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_breve;t__Bifidobacterium_breve_LMC520	20	20	20	26	52	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_breve;t__Bifidobacterium_breve_NCFB_2258	0	0	2	17	84	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_breve;t__Bifidobacterium_breve_NRBB02	22	22	22	22	22	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_breve;t__Bifidobacterium_breve_NRBB09	82	82	84	87	106	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_breve;t__Bifidobacterium_breve_NRBB50	12	12	15	41	156	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_breve;t__Bifidobacterium_breve_NRBB52	8	10	10	27	98	2	0	2
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_breve;t__Bifidobacterium_breve_NRBB57	21	21	21	30	66	0	0	0
