tax	con.depth.100.seq.bifido	con.depth.1000.seq.bifido	con.depth.10000.seq.bifido	con.depth.100000.seq.bifido	con.depth.500000.seq.bifido	conbif.200000	conbif.40000	conbif.80000
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_longum;t__Bifidobacterium_longum_GT15	3.78E-05	3.78E-05	3.78E-05	3.73E-05	3.57E-05	2.41E-05	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_longum;t__Bifidobacterium_longum_JCM_1217	1.64E-05	1.64E-05	1.66E-05	1.70E-05	1.88E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_longum;t__Bifidobacterium_longum_JCM_1222	0	0	7.41E-07	3.60E-06	1.75E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_longum;t__Bifidobacterium_longum_KACC_91563	1.75E-05	1.75E-05	1.75E-05	1.74E-05	1.64E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_longum;t__Bifidobacterium_longum_NCC2705	2.69E-05	2.69E-05	2.82E-05	4.25E-05	0.000102194	2.41E-05	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_longum;t__Bifidobacterium_longum_NCIMB8809	2.26E-05	2.26E-05	2.26E-05	2.26E-05	2.23E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_longum;t__Other	0.002605723	0.002695937	0.003629665	0.012815878	0.051992361	0.028133517	0.029485887	0.029046651
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_minimum;t__Bifidobacterium_minimum_LMG_11592	1.15E-05	1.15E-05	1.15E-05	1.15E-05	1.10E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_pseudocatenulatum;t__Bifidobacterium_pseudocatenulatum_2789STDY5834840	3.84E-05	3.84E-05	3.84E-05	3.79E-05	3.52E-05	3.62E-05	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_pseudocatenulatum;t__Bifidobacterium_pseudocatenulatum_JCM_1200	3.83E-05	3.83E-05	3.83E-05	3.78E-05	3.56E-05	3.62E-05	0	0
